"品詞細分類1","品詞細分類2","品詞細分類3","活用型","原形","読み","基本形","未然形","未然ウ接続","連用形","連用タ接続","仮定形","命令ｅ","仮定縮約１","未然特殊","体言接続特殊","体言接続特殊２","命令ｙｏ","命令ｒｏ","文語基本形","未然レル接続","命令ｉ","体言接続","未然ヌ接続","現代基本形"
"自立","*","*","五段・マ行","払い込む","ハライコム,ハライコマ,ハライコモ,ハライコミ,ハライコン,ハライコメ,ハライコメ,ハライコミャ","払い込む","払い込ま","払い込も","払い込み","払い込ん","払い込め","払い込め","払い込みゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","見つけだす","ミツケダス,ミツケダサ,ミツケダソ,ミツケダシ,ミツケダセ,ミツケダセ,ミツケダシャ","見つけだす","見つけださ","見つけだそ","見つけだし","","見つけだせ","見つけだせ","見つけだしゃ","","","","","","","","","","",""
"自立","*","*","五段・ワ行促音便","這い蹲う","ハイツクバウ,ハイツクバワ,ハイツクバオ,ハイツクバイ,ハイツクバッ,ハイツクバエ,ハイツクバエ","這い蹲う","這い蹲わ","這い蹲お","這い蹲い","這い蹲っ","這い蹲え","這い蹲え","","","","","","","","","","","",""
"自立","*","*","一段","老いさらばえる","オイサラバエル,オイサラバエ,オイサラバエヨ,オイサラバエ,オイサラバエレ,オイサラバエヨ,オイサラバエロ,オイサラバエリャ,オイサラバエン","老いさらばえる","老いさらばえ","老いさらばえよ","老いさらばえ","","老いさらばえれ","","老いさらばえりゃ","","老いさらばえん","","老いさらばえよ","老いさらばえろ","","","","","",""
"自立","*","*","五段・ラ行","閉まる","シマル,シマラ,シマン,シマロ,シマリ,シマッ,シマレ,シマレ,シマリャ,シマン,シマ","閉まる","閉まら","閉まろ","閉まり","閉まっ","閉まれ","閉まれ","閉まりゃ","閉まん","閉まん","閉ま","","","","","","","",""
"自立","*","*","五段・サ行","はなす","ハナス,ハナサ,ハナソ,ハナシ,ハナセ,ハナセ,ハナシャ","はなす","はなさ","はなそ","はなし","","はなせ","はなせ","はなしゃ","","","","","","","","","","",""
"自立","*","*","一段","いすわれる","イスワレル,イスワレ,イスワレヨ,イスワレ,イスワレレ,イスワレヨ,イスワレロ,イスワレリャ,イスワレン","いすわれる","いすわれ","いすわれよ","いすわれ","","いすわれれ","","いすわれりゃ","","いすわれん","","いすわれよ","いすわれろ","","","","","",""
"自立","*","*","五段・サ行","くらわす","クラワス,クラワサ,クラワソ,クラワシ,クラワセ,クラワセ,クラワシャ","くらわす","くらわさ","くらわそ","くらわし","","くらわせ","くらわせ","くらわしゃ","","","","","","","","","","",""
"自立","*","*","五段・ワ行促音便","へしあう","ヘシアウ,ヘシアワ,ヘシアオ,ヘシアイ,ヘシアッ,ヘシアエ,ヘシアエ","へしあう","へしあわ","へしあお","へしあい","へしあっ","へしあえ","へしあえ","","","","","","","","","","","",""
"自立","*","*","一段","突きつめる","ツキツメル,ツキツメ,ツキツメヨ,ツキツメ,ツキツメレ,ツキツメヨ,ツキツメロ,ツキツメリャ,ツキツメン","突きつめる","突きつめ","突きつめよ","突きつめ","","突きつめれ","","突きつめりゃ","","突きつめん","","突きつめよ","突きつめろ","","","","","",""
"自立","*","*","五段・マ行","量り込む","ハカリコム,ハカリコマ,ハカリコモ,ハカリコミ,ハカリコン,ハカリコメ,ハカリコメ,ハカリコミャ","量り込む","量り込ま","量り込も","量り込み","量り込ん","量り込め","量り込め","量り込みゃ","","","","","","","","","","",""
"自立","*","*","サ変・－スル","とくする","トクスル,トクス,トクシ,トクシヨ,トクショ,トクセ,トクスレ,トクセヨ,トクシロ,トクスリャ","とくする","とくし","とくしょ","","","とくすれ","","とくすりゃ","","","","とくせよ","とくしろ","とくす","とくせ","","","",""
"自立","*","*","五段・サ行","取り戻す","トリモドス,トリモドサ,トリモドソ,トリモドシ,トリモドセ,トリモドセ,トリモドシャ","取り戻す","取り戻さ","取り戻そ","取り戻し","","取り戻せ","取り戻せ","取り戻しゃ","","","","","","","","","","",""
"自立","*","*","五段・マ行","とよむ","トヨム,トヨマ,トヨモ,トヨミ,トヨン,トヨメ,トヨメ,トヨミャ","とよむ","とよま","とよも","とよみ","とよん","とよめ","とよめ","とよみゃ","","","","","","","","","","",""
