"品詞細分類1","品詞細分類2","品詞細分類3","活用型","原形","読み","基本形","未然形","未然ウ接続","連用形","連用タ接続","仮定形","命令ｅ","仮定縮約１","未然特殊","体言接続特殊","体言接続特殊２","命令ｙｏ","命令ｒｏ","文語基本形","未然レル接続","命令ｉ","体言接続","未然ヌ接続","現代基本形"
"自立","*","*","五段・タ行","抛つつ","ナゲウツ,ナゲウタ,ナゲウト,ナゲウチ,ナゲウッ,ナゲウテ,ナゲウテ,ナゲウチャ","抛つつ","抛つた","抛つと","抛つち","抛つっ","抛つて","抛つて","抛つちゃ","","","","","","","","","","",""
"自立","*","*","一段","紛れ込める","マギレコメル,マギレコメ,マギレコメヨ,マギレコメ,マギレコメレ,マギレコメヨ,マギレコメロ,マギレコメリャ,マギレコメン","紛れ込める","紛れ込め","紛れ込めよ","紛れ込め","","紛れ込めれ","","紛れ込めりゃ","","紛れ込めん","","紛れ込めよ","紛れ込めろ","","","","","",""
"自立","*","*","一段","闘える","タタカエル,タタカエ,タタカエヨ,タタカエ,タタカエレ,タタカエヨ,タタカエロ,タタカエリャ,タタカエン","闘える","闘え","闘えよ","闘え","","闘えれ","","闘えりゃ","","闘えん","","闘えよ","闘えろ","","","","","",""
"自立","*","*","一段","方向付ける","ホウコウヅケル,ホウコウヅケ,ホウコウヅケヨ,ホウコウヅケ,ホウコウヅケレ,ホウコウヅケヨ,ホウコウヅケロ,ホウコウヅケリャ,ホウコウヅケン","方向付ける","方向付け","方向付けよ","方向付け","","方向付けれ","","方向付けりゃ","","方向付けん","","方向付けよ","方向付けろ","","","","","",""
"自立","*","*","五段・サ行","略す","リャクス,リャクサ,リャクソ,リャクシ,リャクセ,リャクセ,リャクシャ","略す","略さ","略そ","略し","","略せ","略せ","略しゃ","","","","","","","","","","",""
"自立","*","*","五段・カ行イ音便","跪く","ヒザマズク,ヒザマズカ,ヒザマズコ,ヒザマズキ,ヒザマズイ,ヒザマズケ,ヒザマズケ,ヒザマズキャ","跪く","跪か","跪こ","跪き","跪い","跪け","跪け","跪きゃ","","","","","","","","","","",""
"自立","*","*","一段","刻み付ける","キザミツケル,キザミツケ,キザミツケヨ,キザミツケ,キザミツケレ,キザミツケヨ,キザミツケロ,キザミツケリャ,キザミツケン","刻み付ける","刻み付け","刻み付けよ","刻み付け","","刻み付けれ","","刻み付けりゃ","","刻み付けん","","刻み付けよ","刻み付けろ","","","","","",""
"自立","*","*","一段","言い渡せる","イイワタセル,イイワタセ,イイワタセヨ,イイワタセ,イイワタセレ,イイワタセヨ,イイワタセロ,イイワタセリャ,イイワタセン","言い渡せる","言い渡せ","言い渡せよ","言い渡せ","","言い渡せれ","","言い渡せりゃ","","言い渡せん","","言い渡せよ","言い渡せろ","","","","","",""
"自立","*","*","五段・サ行","潰す","ツブス,ツブサ,ツブソ,ツブシ,ツブセ,ツブセ,ツブシャ","潰す","潰さ","潰そ","潰し","","潰せ","潰せ","潰しゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","開け放す","アケハナス,アケハナサ,アケハナソ,アケハナシ,アケハナセ,アケハナセ,アケハナシャ","開け放す","開け放さ","開け放そ","開け放し","","開け放せ","開け放せ","開け放しゃ","","","","","","","","","","",""
"自立","*","*","一段","捲し上げる","マクシアゲル,マクシアゲ,マクシアゲヨ,マクシアゲ,マクシアゲレ,マクシアゲヨ,マクシアゲロ,マクシアゲリャ,マクシアゲン","捲し上げる","捲し上げ","捲し上げよ","捲し上げ","","捲し上げれ","","捲し上げりゃ","","捲し上げん","","捲し上げよ","捲し上げろ","","","","","",""
"自立","*","*","五段・サ行","はみ出す","ハミダス,ハミダサ,ハミダソ,ハミダシ,ハミダセ,ハミダセ,ハミダシャ","はみ出す","はみ出さ","はみ出そ","はみ出し","","はみ出せ","はみ出せ","はみ出しゃ","","","","","","","","","","",""
"自立","*","*","一段","いきながらえる","イキナガラエル,イキナガラエ,イキナガラエヨ,イキナガラエ,イキナガラエレ,イキナガラエヨ,イキナガラエロ,イキナガラエリャ,イキナガラエン","いきながらえる","いきながらえ","いきながらえよ","いきながらえ","","いきながらえれ","","いきながらえりゃ","","いきながらえん","","いきながらえよ","いきながらえろ","","","","","",""
"自立","*","*","五段・カ行イ音便","あきめく","アキメク,アキメカ,アキメコ,アキメキ,アキメイ,アキメケ,アキメケ,アキメキャ","あきめく","あきめか","あきめこ","あきめき","あきめい","あきめけ","あきめけ","あきめきゃ","","","","","","","","","","",""
"自立","*","*","一段","適える","カナエル,カナエ,カナエヨ,カナエ,カナエレ,カナエヨ,カナエロ,カナエリャ,カナエン","適える","適え","適えよ","適え","","適えれ","","適えりゃ","","適えん","","適えよ","適えろ","","","","","",""
"自立","*","*","サ変・－スル","賭する","トスル,トス,トシ,トシヨ,トショ,トセ,トスレ,トセヨ,トシロ,トスリャ","賭する","賭し","賭しょ","","","賭すれ","","賭すりゃ","","","","賭せよ","賭しろ","賭す","賭せ","","","",""
"自立","*","*","一段","とおりすぎる","トオリスギル,トオリスギ,トオリスギヨ,トオリスギ,トオリスギレ,トオリスギヨ,トオリスギロ,トオリスギリャ,トオリスギン","とおりすぎる","とおりすぎ","とおりすぎよ","とおりすぎ","","とおりすぎれ","","とおりすぎりゃ","","とおりすぎん","","とおりすぎよ","とおりすぎろ","","","","","",""
"自立","*","*","一段","取り締まれる","トリシマレル,トリシマレ,トリシマレヨ,トリシマレ,トリシマレレ,トリシマレヨ,トリシマレロ,トリシマレリャ,トリシマレン","取り締まれる","取り締まれ","取り締まれよ","取り締まれ","","取り締まれれ","","取り締まれりゃ","","取り締まれん","","取り締まれよ","取り締まれろ","","","","","",""
"自立","*","*","五段・ラ行","さぼる","サボル,サボラ,サボン,サボロ,サボリ,サボッ,サボレ,サボレ,サボリャ,サボン,サボ","さぼる","さぼら","さぼろ","さぼり","さぼっ","さぼれ","さぼれ","さぼりゃ","さぼん","さぼん","さぼ","","","","","","","",""
"自立","*","*","サ変・－スル","付する","フスル,フス,フシ,フシヨ,フショ,フセ,フスレ,フセヨ,フシロ,フスリャ","付する","付し","付しょ","","","付すれ","","付すりゃ","","","","付せよ","付しろ","付す","付せ","","","",""
"自立","*","*","五段・サ行","踏み越す","フミコス,フミコサ,フミコソ,フミコシ,フミコセ,フミコセ,フミコシャ","踏み越す","踏み越さ","踏み越そ","踏み越し","","踏み越せ","踏み越せ","踏み越しゃ","","","","","","","","","","",""
"自立","*","*","一段","乗越える","ノリコエル,ノリコエ,ノリコエヨ,ノリコエ,ノリコエレ,ノリコエヨ,ノリコエロ,ノリコエリャ,ノリコエン","乗越える","乗越え","乗越えよ","乗越え","","乗越えれ","","乗越えりゃ","","乗越えん","","乗越えよ","乗越えろ","","","","","",""
"自立","*","*","五段・カ行イ音便","勢いづく","イキオイヅク,イキオイヅカ,イキオイヅコ,イキオイヅキ,イキオイヅイ,イキオイヅケ,イキオイヅケ,イキオイヅキャ","勢いづく","勢いづか","勢いづこ","勢いづき","勢いづい","勢いづけ","勢いづけ","勢いづきゃ","","","","","","","","","","",""
"自立","*","*","一段","入り乱れる","イリミダレル,イリミダレ,イリミダレヨ,イリミダレ,イリミダレレ,イリミダレヨ,イリミダレロ,イリミダレリャ,イリミダレン","入り乱れる","入り乱れ","入り乱れよ","入り乱れ","","入り乱れれ","","入り乱れりゃ","","入り乱れん","","入り乱れよ","入り乱れろ","","","","","",""
"自立","*","*","一段","組伏せる","クミフセル,クミフセ,クミフセヨ,クミフセ,クミフセレ,クミフセヨ,クミフセロ,クミフセリャ,クミフセン","組伏せる","組伏せ","組伏せよ","組伏せ","","組伏せれ","","組伏せりゃ","","組伏せん","","組伏せよ","組伏せろ","","","","","",""
"自立","*","*","一段","うちきれる","ウチキレル,ウチキレ,ウチキレヨ,ウチキレ,ウチキレレ,ウチキレヨ,ウチキレロ,ウチキレリャ,ウチキレン","うちきれる","うちきれ","うちきれよ","うちきれ","","うちきれれ","","うちきれりゃ","","うちきれん","","うちきれよ","うちきれろ","","","","","",""
"自立","*","*","一段","ききだせる","キキダセル,キキダセ,キキダセヨ,キキダセ,キキダセレ,キキダセヨ,キキダセロ,キキダセリャ,キキダセン","ききだせる","ききだせ","ききだせよ","ききだせ","","ききだせれ","","ききだせりゃ","","ききだせん","","ききだせよ","ききだせろ","","","","","",""
"自立","*","*","五段・カ行イ音便","破く","ヤブク,ヤブカ,ヤブコ,ヤブキ,ヤブイ,ヤブケ,ヤブケ,ヤブキャ","破く","破か","破こ","破き","破い","破け","破け","破きゃ","","","","","","","","","","",""
"自立","*","*","五段・ワ行促音便","さそう","サソウ,サソワ,サソオ,サソイ,サソッ,サソエ,サソエ","さそう","さそわ","さそお","さそい","さそっ","さそえ","さそえ","","","","","","","","","","","",""
"自立","*","*","サ変・－スル","食する","ショクスル,ショクス,ショクシ,ショクシヨ,ショクショ,ショクセ,ショクスレ,ショクセヨ,ショクシロ,ショクスリャ","食する","食し","食しょ","","","食すれ","","食すりゃ","","","","食せよ","食しろ","食す","食せ","","","",""
"自立","*","*","一段","よろこびあえる","ヨロコビアエル,ヨロコビアエ,ヨロコビアエヨ,ヨロコビアエ,ヨロコビアエレ,ヨロコビアエヨ,ヨロコビアエロ,ヨロコビアエリャ,ヨロコビアエン","よろこびあえる","よろこびあえ","よろこびあえよ","よろこびあえ","","よろこびあえれ","","よろこびあえりゃ","","よろこびあえん","","よろこびあえよ","よろこびあえろ","","","","","",""
"自立","*","*","一段","積重ねる","ツミカサネル,ツミカサネ,ツミカサネヨ,ツミカサネ,ツミカサネレ,ツミカサネヨ,ツミカサネロ,ツミカサネリャ,ツミカサネン","積重ねる","積重ね","積重ねよ","積重ね","","積重ねれ","","積重ねりゃ","","積重ねん","","積重ねよ","積重ねろ","","","","","",""
"自立","*","*","五段・ラ行","捩る","スジル,スジラ,スジン,スジロ,スジリ,スジッ,スジレ,スジレ,スジリャ,スジン,スジ,モジル,モジラ,モジン,モジロ,モジリ,モジッ,モジレ,モジレ,モジリャ,モジン,モジ,ヨジル,ヨジラ,ヨジン,ヨジロ,ヨジリ,ヨジッ,ヨジレ,ヨジレ,ヨジリャ,ヨジン,ヨジ,ネジル,ネジラ,ネジン,ネジロ,ネジリ,ネジッ,ネジレ,ネジレ,ネジリャ,ネジン,ネジ","捩る","捩ら","捩ろ","捩り","捩っ","捩れ","捩れ","捩りゃ","捩ん","捩ん","捩","","","","","","","",""
"自立","*","*","一段","しわがれる","シワガレル,シワガレ,シワガレヨ,シワガレ,シワガレレ,シワガレヨ,シワガレロ,シワガレリャ,シワガレン","しわがれる","しわがれ","しわがれよ","しわがれ","","しわがれれ","","しわがれりゃ","","しわがれん","","しわがれよ","しわがれろ","","","","","",""
"自立","*","*","サ変・－スル","しょくする","ショクスル,ショクス,ショクシ,ショクシヨ,ショクショ,ショクセ,ショクスレ,ショクセヨ,ショクシロ,ショクスリャ","しょくする","しょくし","しょくしょ","","","しょくすれ","","しょくすりゃ","","","","しょくせよ","しょくしろ","しょくす","しょくせ","","","",""
"自立","*","*","一段","はきだせる","ハキダセル,ハキダセ,ハキダセヨ,ハキダセ,ハキダセレ,ハキダセヨ,ハキダセロ,ハキダセリャ,ハキダセン","はきだせる","はきだせ","はきだせよ","はきだせ","","はきだせれ","","はきだせりゃ","","はきだせん","","はきだせよ","はきだせろ","","","","","",""
"自立","*","*","五段・サ行","練り直す","ネリナオス,ネリナオサ,ネリナオソ,ネリナオシ,ネリナオセ,ネリナオセ,ネリナオシャ","練り直す","練り直さ","練り直そ","練り直し","","練り直せ","練り直せ","練り直しゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","下種張る","ゲスバル,ゲスバラ,ゲスバン,ゲスバロ,ゲスバリ,ゲスバッ,ゲスバレ,ゲスバレ,ゲスバリャ,ゲスバン,ゲスバ","下種張る","下種張ら","下種張ろ","下種張り","下種張っ","下種張れ","下種張れ","下種張りゃ","下種張ん","下種張ん","下種張","","","","","","","",""
"自立","*","*","一段","みはからえる","ミハカラエル,ミハカラエ,ミハカラエヨ,ミハカラエ,ミハカラエレ,ミハカラエヨ,ミハカラエロ,ミハカラエリャ,ミハカラエン","みはからえる","みはからえ","みはからえよ","みはからえ","","みはからえれ","","みはからえりゃ","","みはからえん","","みはからえよ","みはからえろ","","","","","",""
"自立","*","*","五段・サ行","使い果す","ツカイハタス,ツカイハタサ,ツカイハタソ,ツカイハタシ,ツカイハタセ,ツカイハタセ,ツカイハタシャ","使い果す","使い果さ","使い果そ","使い果し","","使い果せ","使い果せ","使い果しゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","捲る","メクル,メクラ,メクン,メクロ,メクリ,メクッ,メクレ,メクレ,メクリャ,メクン,メク","捲る","捲ら","捲ろ","捲り","捲っ","捲れ","捲れ","捲りゃ","捲ん","捲ん","捲","","","","","","","",""
"自立","*","*","一段","記せる","シルセル,シルセ,シルセヨ,シルセ,シルセレ,シルセヨ,シルセロ,シルセリャ,シルセン","記せる","記せ","記せよ","記せ","","記せれ","","記せりゃ","","記せん","","記せよ","記せろ","","","","","",""
"自立","*","*","五段・サ行","つれもどす","ツレモドス,ツレモドサ,ツレモドソ,ツレモドシ,ツレモドセ,ツレモドセ,ツレモドシャ","つれもどす","つれもどさ","つれもどそ","つれもどし","","つれもどせ","つれもどせ","つれもどしゃ","","","","","","","","","","",""
"自立","*","*","一段","振り払える","フリハラエル,フリハラエ,フリハラエヨ,フリハラエ,フリハラエレ,フリハラエヨ,フリハラエロ,フリハラエリャ,フリハラエン","振り払える","振り払え","振り払えよ","振り払え","","振り払えれ","","振り払えりゃ","","振り払えん","","振り払えよ","振り払えろ","","","","","",""
"自立","*","*","五段・マ行","かりこむ","カリコム,カリコマ,カリコモ,カリコミ,カリコン,カリコメ,カリコメ,カリコミャ","かりこむ","かりこま","かりこも","かりこみ","かりこん","かりこめ","かりこめ","かりこみゃ","","","","","","","","","","",""
"自立","*","*","五段・カ行イ音便","差うつむく","サシウツムク,サシウツムカ,サシウツムコ,サシウツムキ,サシウツムイ,サシウツムケ,サシウツムケ,サシウツムキャ","差うつむく","差うつむか","差うつむこ","差うつむき","差うつむい","差うつむけ","差うつむけ","差うつむきゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","乾かす","カワカス,カワカサ,カワカソ,カワカシ,カワカセ,カワカセ,カワカシャ","乾かす","乾かさ","乾かそ","乾かし","","乾かせ","乾かせ","乾かしゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","恐れ入る","オソレイル,オソレイラ,オソレイン,オソレイロ,オソレイリ,オソレイッ,オソレイレ,オソレイレ,オソレイリャ,オソレイン,オソレイ","恐れ入る","恐れ入ら","恐れ入ろ","恐れ入り","恐れ入っ","恐れ入れ","恐れ入れ","恐れ入りゃ","恐れ入ん","恐れ入ん","恐れ入","","","","","","","",""
"自立","*","*","五段・サ行","なきくらす","ナキクラス,ナキクラサ,ナキクラソ,ナキクラシ,ナキクラセ,ナキクラセ,ナキクラシャ","なきくらす","なきくらさ","なきくらそ","なきくらし","","なきくらせ","なきくらせ","なきくらしゃ","","","","","","","","","","",""
"自立","*","*","サ変・－スル","ばくする","バクスル,バクス,バクシ,バクシヨ,バクショ,バクセ,バクスレ,バクセヨ,バクシロ,バクスリャ","ばくする","ばくし","ばくしょ","","","ばくすれ","","ばくすりゃ","","","","ばくせよ","ばくしろ","ばくす","ばくせ","","","",""
"自立","*","*","一段","詠じる","エイジル,エイジ,エイジヨ,エイジ,エイジレ,エイジヨ,エイジロ,エイジリャ,エイジン","詠じる","詠じ","詠じよ","詠じ","","詠じれ","","詠じりゃ","","詠じん","","詠じよ","詠じろ","","","","","",""
"自立","*","*","五段・ラ行","抓る","ツメル,ツメラ,ツメン,ツメロ,ツメリ,ツメッ,ツメレ,ツメレ,ツメリャ,ツメン,ツメ,ツネル,ツネラ,ツネン,ツネロ,ツネリ,ツネッ,ツネレ,ツネレ,ツネリャ,ツネン,ツネ","抓る","抓ら","抓ろ","抓り","抓っ","抓れ","抓れ","抓りゃ","抓ん","抓ん","抓","","","","","","","",""
"自立","*","*","五段・カ行イ音便","ちかづく","チカヅク,チカヅカ,チカヅコ,チカヅキ,チカヅイ,チカヅケ,チカヅケ,チカヅキャ","ちかづく","ちかづか","ちかづこ","ちかづき","ちかづい","ちかづけ","ちかづけ","ちかづきゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","誤らす","アヤマラス,アヤマラサ,アヤマラソ,アヤマラシ,アヤマラセ,アヤマラセ,アヤマラシャ","誤らす","誤らさ","誤らそ","誤らし","","誤らせ","誤らせ","誤らしゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","たかなる","タカナル,タカナラ,タカナン,タカナロ,タカナリ,タカナッ,タカナレ,タカナレ,タカナリャ,タカナン,タカナ","たかなる","たかなら","たかなろ","たかなり","たかなっ","たかなれ","たかなれ","たかなりゃ","たかなん","たかなん","たかな","","","","","","","",""
"自立","*","*","一段","横たえる","ヨコタエル,ヨコタエ,ヨコタエヨ,ヨコタエ,ヨコタエレ,ヨコタエヨ,ヨコタエロ,ヨコタエリャ,ヨコタエン","横たえる","横たえ","横たえよ","横たえ","","横たえれ","","横たえりゃ","","横たえん","","横たえよ","横たえろ","","","","","",""
"自立","*","*","五段・サ行","はりまわす","ハリマワス,ハリマワサ,ハリマワソ,ハリマワシ,ハリマワセ,ハリマワセ,ハリマワシャ","はりまわす","はりまわさ","はりまわそ","はりまわし","","はりまわせ","はりまわせ","はりまわしゃ","","","","","","","","","","",""
"自立","*","*","五段・マ行","拝む","オガム,オガマ,オガモ,オガミ,オガン,オガメ,オガメ,オガミャ","拝む","拝ま","拝も","拝み","拝ん","拝め","拝め","拝みゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","ゆるがす","ユルガス,ユルガサ,ユルガソ,ユルガシ,ユルガセ,ユルガセ,ユルガシャ","ゆるがす","ゆるがさ","ゆるがそ","ゆるがし","","ゆるがせ","ゆるがせ","ゆるがしゃ","","","","","","","","","","",""
"自立","*","*","一段","ひきずりまわせる","ヒキズリマワセル,ヒキズリマワセ,ヒキズリマワセヨ,ヒキズリマワセ,ヒキズリマワセレ,ヒキズリマワセヨ,ヒキズリマワセロ,ヒキズリマワセリャ,ヒキズリマワセン","ひきずりまわせる","ひきずりまわせ","ひきずりまわせよ","ひきずりまわせ","","ひきずりまわせれ","","ひきずりまわせりゃ","","ひきずりまわせん","","ひきずりまわせよ","ひきずりまわせろ","","","","","",""
"自立","*","*","五段・サ行","はらいもどす","ハライモドス,ハライモドサ,ハライモドソ,ハライモドシ,ハライモドセ,ハライモドセ,ハライモドシャ","はらいもどす","はらいもどさ","はらいもどそ","はらいもどし","","はらいもどせ","はらいもどせ","はらいもどしゃ","","","","","","","","","","",""
"自立","*","*","五段・カ行イ音便","ゆびく","ユビク,ユビカ,ユビコ,ユビキ,ユビイ,ユビケ,ユビケ,ユビキャ","ゆびく","ゆびか","ゆびこ","ゆびき","ゆびい","ゆびけ","ゆびけ","ゆびきゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","斬る","キル,キラ,キン,キロ,キリ,キッ,キレ,キレ,キリャ,キン,キ","斬る","斬ら","斬ろ","斬り","斬っ","斬れ","斬れ","斬りゃ","斬ん","斬ん","斬","","","","","","","",""
"自立","*","*","五段・ワ行促音便","もつれあう","モツレアウ,モツレアワ,モツレアオ,モツレアイ,モツレアッ,モツレアエ,モツレアエ","もつれあう","もつれあわ","もつれあお","もつれあい","もつれあっ","もつれあえ","もつれあえ","","","","","","","","","","","",""
"自立","*","*","五段・サ行","せめおとす","セメオトス,セメオトサ,セメオトソ,セメオトシ,セメオトセ,セメオトセ,セメオトシャ","せめおとす","せめおとさ","せめおとそ","せめおとし","","せめおとせ","せめおとせ","せめおとしゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","うちはたす","ウチハタス,ウチハタサ,ウチハタソ,ウチハタシ,ウチハタセ,ウチハタセ,ウチハタシャ","うちはたす","うちはたさ","うちはたそ","うちはたし","","うちはたせ","うちはたせ","うちはたしゃ","","","","","","","","","","",""
"自立","*","*","五段・マ行","どよむ","ドヨム,ドヨマ,ドヨモ,ドヨミ,ドヨン,ドヨメ,ドヨメ,ドヨミャ","どよむ","どよま","どよも","どよみ","どよん","どよめ","どよめ","どよみゃ","","","","","","","","","","",""
"自立","*","*","一段","ついていける","ツイテイケル,ツイテイケ,ツイテイケヨ,ツイテイケ,ツイテイケレ,ツイテイケヨ,ツイテイケロ,ツイテイケリャ,ツイテイケン","ついていける","ついていけ","ついていけよ","ついていけ","","ついていけれ","","ついていけりゃ","","ついていけん","","ついていけよ","ついていけろ","","","","","",""
"自立","*","*","五段・ラ行","交じる","マジル,マジラ,マジン,マジロ,マジリ,マジッ,マジレ,マジレ,マジリャ,マジン,マジ","交じる","交じら","交じろ","交じり","交じっ","交じれ","交じれ","交じりゃ","交じん","交じん","交じ","","","","","","","",""
"自立","*","*","一段","脅える","オビエル,オビエ,オビエヨ,オビエ,オビエレ,オビエヨ,オビエロ,オビエリャ,オビエン","脅える","脅え","脅えよ","脅え","","脅えれ","","脅えりゃ","","脅えん","","脅えよ","脅えろ","","","","","",""
"自立","*","*","五段・サ行","うちけす","ウチケス,ウチケサ,ウチケソ,ウチケシ,ウチケセ,ウチケセ,ウチケシャ","うちけす","うちけさ","うちけそ","うちけし","","うちけせ","うちけせ","うちけしゃ","","","","","","","","","","",""
"自立","*","*","五段・カ行イ音便","轢く","ヒク,ヒカ,ヒコ,ヒキ,ヒイ,ヒケ,ヒケ,ヒキャ","轢く","轢か","轢こ","轢き","轢い","轢け","轢け","轢きゃ","","","","","","","","","","",""
"自立","*","*","一段","うけながせる","ウケナガセル,ウケナガセ,ウケナガセヨ,ウケナガセ,ウケナガセレ,ウケナガセヨ,ウケナガセロ,ウケナガセリャ,ウケナガセン","うけながせる","うけながせ","うけながせよ","うけながせ","","うけながせれ","","うけながせりゃ","","うけながせん","","うけながせよ","うけながせろ","","","","","",""
"自立","*","*","五段・マ行","降やむ","フリヤム,フリヤマ,フリヤモ,フリヤミ,フリヤン,フリヤメ,フリヤメ,フリヤミャ","降やむ","降やま","降やも","降やみ","降やん","降やめ","降やめ","降やみゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","うなる","ウナル,ウナラ,ウナン,ウナロ,ウナリ,ウナッ,ウナレ,ウナレ,ウナリャ,ウナン,ウナ","うなる","うなら","うなろ","うなり","うなっ","うなれ","うなれ","うなりゃ","うなん","うなん","うな","","","","","","","",""
"自立","*","*","一段","さしつかえる","サシツカエル,サシツカエ,サシツカエヨ,サシツカエ,サシツカエレ,サシツカエヨ,サシツカエロ,サシツカエリャ,サシツカエン","さしつかえる","さしつかえ","さしつかえよ","さしつかえ","","さしつかえれ","","さしつかえりゃ","","さしつかえん","","さしつかえよ","さしつかえろ","","","","","",""
"自立","*","*","五段・ラ行","見あたる","ミアタル,ミアタラ,ミアタン,ミアタロ,ミアタリ,ミアタッ,ミアタレ,ミアタレ,ミアタリャ,ミアタン,ミアタ","見あたる","見あたら","見あたろ","見あたり","見あたっ","見あたれ","見あたれ","見あたりゃ","見あたん","見あたん","見あた","","","","","","","",""
"自立","*","*","五段・ワ行促音便","取り扱う","トリアツカウ,トリアツカワ,トリアツカオ,トリアツカイ,トリアツカッ,トリアツカエ,トリアツカエ","取り扱う","取り扱わ","取り扱お","取り扱い","取り扱っ","取り扱え","取り扱え","","","","","","","","","","","",""
"自立","*","*","サ変・－スル","脱する","ダッスル,ダッス,ダッシ,ダッシヨ,ダッショ,ダッセ,ダッスレ,ダッセヨ,ダッシロ,ダッスリャ","脱する","脱し","脱しょ","","","脱すれ","","脱すりゃ","","","","脱せよ","脱しろ","脱す","脱せ","","","",""
"自立","*","*","一段","でむかえる","デムカエル,デムカエ,デムカエヨ,デムカエ,デムカエレ,デムカエヨ,デムカエロ,デムカエリャ,デムカエン","でむかえる","でむかえ","でむかえよ","でむかえ","","でむかえれ","","でむかえりゃ","","でむかえん","","でむかえよ","でむかえろ","","","","","",""
"自立","*","*","五段・タ行","けばだつ","ケバダツ,ケバダタ,ケバダト,ケバダチ,ケバダッ,ケバダテ,ケバダテ,ケバダチャ","けばだつ","けばだた","けばだと","けばだち","けばだっ","けばだて","けばだて","けばだちゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","生みだす","ウミダス,ウミダサ,ウミダソ,ウミダシ,ウミダセ,ウミダセ,ウミダシャ","生みだす","生みださ","生みだそ","生みだし","","生みだせ","生みだせ","生みだしゃ","","","","","","","","","","",""
"自立","*","*","五段・カ行イ音便","踏抜く","フミヌク,フミヌカ,フミヌコ,フミヌキ,フミヌイ,フミヌケ,フミヌケ,フミヌキャ","踏抜く","踏抜か","踏抜こ","踏抜き","踏抜い","踏抜け","踏抜け","踏抜きゃ","","","","","","","","","","",""
"自立","*","*","五段・マ行","飲む","ノム,ノマ,ノモ,ノミ,ノン,ノメ,ノメ,ノミャ","飲む","飲ま","飲も","飲み","飲ん","飲め","飲め","飲みゃ","","","","","","","","","","",""
"自立","*","*","一段","立ち込める","タチコメル,タチコメ,タチコメヨ,タチコメ,タチコメレ,タチコメヨ,タチコメロ,タチコメリャ,タチコメン","立ち込める","立ち込め","立ち込めよ","立ち込め","","立ち込めれ","","立ち込めりゃ","","立ち込めん","","立ち込めよ","立ち込めろ","","","","","",""
"自立","*","*","サ変・－ズル","肯んずる","ガエンズル,ガエンズ,ガエンゼ,ガエンゼヨ,ガエンズレ,ガエンゼヨ,ガエンズリャ","肯んずる","肯んぜ","肯んぜよ","","","肯んずれ","","肯んずりゃ","","","","肯んぜよ","","肯んず","","","","",""
"自立","*","*","五段・サ行","割出す","ワリダス,ワリダサ,ワリダソ,ワリダシ,ワリダセ,ワリダセ,ワリダシャ","割出す","割出さ","割出そ","割出し","","割出せ","割出せ","割出しゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","かきなおす","カキナオス,カキナオサ,カキナオソ,カキナオシ,カキナオセ,カキナオセ,カキナオシャ","かきなおす","かきなおさ","かきなおそ","かきなおし","","かきなおせ","かきなおせ","かきなおしゃ","","","","","","","","","","",""
"自立","*","*","一段","組み上げる","クミアゲル,クミアゲ,クミアゲヨ,クミアゲ,クミアゲレ,クミアゲヨ,クミアゲロ,クミアゲリャ,クミアゲン","組み上げる","組み上げ","組み上げよ","組み上げ","","組み上げれ","","組み上げりゃ","","組み上げん","","組み上げよ","組み上げろ","","","","","",""
"自立","*","*","一段","けせる","ケセル,ケセ,ケセヨ,ケセ,ケセレ,ケセヨ,ケセロ,ケセリャ,ケセン","けせる","けせ","けせよ","けせ","","けせれ","","けせりゃ","","けせん","","けせよ","けせろ","","","","","",""
"自立","*","*","サ変・－ズル","弁ずる","ベンズル,ベンズ,ベンゼ,ベンゼヨ,ベンズレ,ベンゼヨ,ベンズリャ","弁ずる","弁ぜ","弁ぜよ","","","弁ずれ","","弁ずりゃ","","","","弁ぜよ","","弁ず","","","","",""
"自立","*","*","一段","乗あわせる","ノリアワセル,ノリアワセ,ノリアワセヨ,ノリアワセ,ノリアワセレ,ノリアワセヨ,ノリアワセロ,ノリアワセリャ,ノリアワセン","乗あわせる","乗あわせ","乗あわせよ","乗あわせ","","乗あわせれ","","乗あわせりゃ","","乗あわせん","","乗あわせよ","乗あわせろ","","","","","",""
"自立","*","*","五段・ラ行","統べ括る","スベククル,スベククラ,スベククン,スベククロ,スベククリ,スベククッ,スベククレ,スベククレ,スベククリャ,スベククン,スベクク","統べ括る","統べ括ら","統べ括ろ","統べ括り","統べ括っ","統べ括れ","統べ括れ","統べ括りゃ","統べ括ん","統べ括ん","統べ括","","","","","","","",""
